TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
5,0,1,2,1,1,2,1,0,29,BA,1,1,0,0,0,0,0,0,0,0,0,5,6,1,4,0,2,1,2,3,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,2
6,1,1,3,1,1,2,1,0,32,ES,1,1,0,0,0,0,0,0,0,0,0,3,1,1,2,0,1,1,3,4,1,1,2,1,2,1,2,1,1,3,1,1,3,2,2,2
6,0,1,2,1,1,0,1,0,33,RJ,1,1,0,0,0,0,0,0,0,0,0,5,5,2,2,0,2,1,2,3,2,1,3,2,1,1,2,1,1,3,1,1,5,1,1,2
4,0,1,3,1,1,1,1,0,26,PE,1,1,0,0,0,0,0,0,0,0,0,5,5,2,2,0,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2
2,0,1,1,1,2,0,3,0,28,SE,1,1,0,0,0,0,0,0,0,0,0,5,5,2,1,0,2,1,2,3,1,2,2,1,1,1,1,1,1,2,1,1,3,1,1,2
2,0,1,3,1,3,0,1,1,35,SP,1,1,0,0,0,0,0,0,0,0,0,7,6,6,6,0,2,1,2,3,2,1,2,1,2,1,2,1,1,2,1,1,3,2,2,2
8,0,1,2,1,1,5,1,0,31,MG,1,1,0,0,0,0,0,0,0,0,0,2,6,1,4,0,2,1,2,5,2,2,2,1,2,1,1,1,1,2,1,1,4,1,1,2
1,0,1,3,1,3,0,1,1,26,PE,1,1,0,0,0,0,0,0,0,0,0,8,5,3,2,0,2,1,2,3,1,1,2,1,2,1,1,1,1,2,1,1,4,1,2,2
4,0,1,1,1,1,0,1,0,33,RJ,1,1,0,0,0,0,0,0,0,0,0,2,4,4,2,0,2,1,3,3,2,1,2,2,2,1,2,1,1,2,2,1,3,1,2,2
4,1,1,3,1,1,1,1,0,23,CE,1,1,0,0,0,0,0,0,0,0,0,5,5,2,2,0,5,1,3,3,2,1,2,2,2,1,1,1,1,3,1,1,2,1,1,2
5,1,1,3,1,1,4,1,0,29,BA,1,1,0,0,0,0,0,0,0,0,0,3,3,1,1,0,3,1,2,4,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2
7,1,1,2,1,1,3,1,0,29,BA,1,1,0,0,0,0,0,0,0,0,0,5,5,4,2,0,2,1,3,3,2,1,2,2,2,1,2,1,1,2,2,1,4,1,2,2
11,0,1,5,1,1,8,1,0,26,PE,1,1,0,0,0,0,0,0,0,0,0,8,8,1,1,0,2,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2
3,0,1,3,1,1,1,1,0,13,AM,1,1,0,0,0,0,0,0,0,0,0,5,5,2,4,0,7,1,3,4,1,2,2,2,2,2,1,1,1,3,1,2,4,1,3,2
